Chain,"Chain ID","Number of facilities","Number of states and territories with operations","Number of Special Focus Facilities (SFF)","Number of SFF candidates","Number of facilities with an abuse icon","Percentage of facilities with an abuse icon","Percent of facilities classified as for-profit","Percent of facilities classified as non-profit","Percent of facilities classified as government-owned","Average overall 5-star rating","Average health inspection rating","Average staffing rating","Average quality rating","Average total nurse hours per resident day","Average total weekend nurse hours per resident day","Average total Registered Nurse hours per resident day","Average total nursing staff turnover percentage","Average Registered Nurse turnover percentage","Average number of administrators who have left the nursing home","Total number of fines","Average number of fines","Total amount of fines in dollars","Average amount of fines in dollars","Total number of payment denials","Average number of payment denials","Average percentage of short-stay residents who were re-hospitalized after a nursing home admission","Average percentage of short-stay residents who have had an outpatient emergency department visit","Average percentage of short-stay residents who newly received an antipsychotic medication","Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened","Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge","Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days","Average percentage of long-stay residents who received an antipsychotic medication","Average percentage of long-stay residents experiencing one or more falls with major injury","Average percentage of long-stay residents with pressure ulcers","Average percentage of long-stay residents with a urinary tract infection","Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder","Average percentage of long-stay residents whose ability to move independently worsened","Average percentage of long-stay residents whose need for help with activities of daily living has increased","Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average percentage of long-stay residents who were physically restrained","Average percentage of long-stay residents with new or worsened bowel or bladder incontinence","Average percentage of long-stay residents who lose too much weight","Average percentage of long-stay residents who have symptoms of depression","Average percentage of long-stay residents who used antianxiety or hypnotic medication","Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF"
"HCF MANAGEMENT",251,22,2,0,0,0,0,100,0,0,3.4,3.1,3,4.2,3.5,3.1,0.6,40.2,40.6,0.5,7,0.3,95895,4358.86,2,0.1,22.4,12.3,1.2,2.7,50.1,69.9,73.1,1.5,1.5,13.1,3,3.9,0.6,0.2,10.1,8.5,94.1,90.6,0,25.3,6.2,5.2,25.4,10.7
"HCF MANAGEMENT INDIANA",252,6,1,0,0,0,0,0,33.3,66.7,3.5,3.7,2.2,4,3.9,3.3,0.5,38.9,32.3,0.3,0,0,0,0,0,0,21.6,11.3,1,2.7,61.4,95.9,98.3,2.4,2.1,9.4,1.5,3.5,3.5,0.2,24,20.1,98.9,99.5,0.8,19.6,5.9,32.6,25,10.9
"HEALTH CARE MANAGEMENT GROUP",254,7,2,0,0,0,0,100,0,0,3.6,3.3,2.9,4,3.9,3.6,0.5,52.4,51.4,0.1,5,0.7,28517,4073.86,0,0,27.1,16.5,0.6,1.9,43.4,85.3,88.9,2,2.1,13.2,4.5,2.7,0,0,5.2,4.2,99.1,97.1,0,20.9,8.3,13.4,27.6,10.2
"HEALTH CONCEPTS, LTD.",255,5,1,0,0,0,0,100,0,0,4,3.8,3.6,2.6,3.4,3,0.7,34.2,38.7,0.4,2,0.4,29663,5932.6,0,0,24.4,20.3,1.8,2,53.1,84.2,77.1,1.6,1.8,27,3.2,3.4,3.1,0.7,20.7,24.9,95.4,90.9,0.3,21.9,3,10.5,15.5,10.3
"HEALTH SERVICES MANAGEMENT",257,16,2,0,0,1,6.3,0,87.5,12.5,3,2.9,2.8,3.6,3.6,3.3,0.5,52.7,51.4,0.4,16,1,688617,43038.56,3,0.2,30,9.1,1.2,2.5,52.2,89.6,87.2,2.2,1.8,8.1,2.5,4.2,0.4,0.2,19.4,16.5,98.8,96.9,0,16.8,5.8,1.5,18.1,11.4
"HEALTHCARE OF IOWA",260,8,1,0,0,0,0,50,50,0,3.8,3.6,3.9,3.4,3.5,3,0.7,46.2,38.1,0.7,3,0.4,77661,9707.63,1,0.1,26.3,17.3,0.8,10.4,64.9,90.7,90.3,1.5,2.3,10.2,5.6,10.4,2.1,1.1,11.8,14.7,97.5,96.6,0,24.8,5.2,2.3,13.2,10.7
"HEALTHPEAK PROPERTIES, INC.",261,16,7,0,0,1,6.3,100,0,0,3.4,3.1,4,3.9,4.8,4.2,1.1,53,54.1,0.5,10,0.6,124688,7793,0,0,25.5,10.1,1.3,1.4,54.3,90.8,93.1,2,1.3,8,4.1,5.8,2.3,1.2,22.7,16.4,98.7,96.4,0,22.6,6.5,2.3,15.1,11.3
"HEARTHSTONE SENIOR COMMUNITIES",262,8,1,1,1,2,25,50,50,0,1.9,1.9,2.1,3.4,3.1,3,0.5,45.1,60,1.4,9,1.1,419086,52385.75,1,0.1,27.2,10.6,2.1,2.6,43.5,99,98.9,2.1,1.2,13.5,2.1,4.9,0,0.1,7.9,8.1,100,99.4,0,6.8,5.7,2.2,22.5,10.8
"HELIA HEALTHCARE",263,13,2,0,0,4,30.8,100,0,0,2.3,2.7,1.3,2.8,2.8,2.6,0.4,50.3,41.5,0.5,24,1.8,1007222,77478.62,11,0.8,26.5,17.9,2.7,1.5,49.3,76,71.3,2,3.2,15.9,3.1,4.8,0.7,0.8,20.4,19,97.6,95.2,0.2,17,5.4,32.4,25.3,11.2
"HERITAGE HALL",265,16,1,0,0,0,0,100,0,0,3.9,3.7,2.3,3.8,3.3,2.8,0.4,38.6,36.5,0.4,6,0.4,179492,11218.25,0,0,21.2,11.1,1,1.4,64.5,75.9,80.1,1.3,1.6,14,4.5,3.8,1.4,0.3,18.2,18.1,97.5,96.6,0,19,4.6,6.1,22,11
"HERITAGE MINISTRIES",266,4,2,0,0,1,25,0,100,0,2.3,2.5,2,3.5,3.1,2.9,0.5,44.9,36.2,0,5,1.3,28242,7060.5,0,0,22.2,13.2,0.7,5.7,53.1,63.1,53.1,0.8,1.1,17.2,3.7,4.5,2.7,1.7,17.6,17.1,95.2,86.1,0,18.2,4.7,1.6,11.8,10.4
"HIGHBRIDGE HEALTHCARE",269,4,3,0,1,2,50,100,0,0,3,2.8,1.8,4.3,3.4,3,0.4,42.9,44.3,0.8,6,1.5,171766,42941.5,0,0,22.9,9.1,2.5,3.6,67.9,61.1,70.4,2.9,2,17.6,1.5,4.7,0.8,0.2,13,12.7,87.1,87.3,0,20.8,7.3,29,14,10.7
"HILL VALLEY HEALTHCARE",270,43,7,0,3,7,16.3,93,7,0,2,1.9,1.8,3.8,3.4,3,0.6,54.2,58.9,0.9,32,0.7,1441552,33524.47,4,0.1,22.1,11.9,1.1,3.3,51.9,61.5,64.1,1.6,1.7,14.8,3.6,4.9,1,0.3,13.4,11.2,91.6,87.4,0,24.4,7,21.5,18.7,10.7
"HILLSTONE HEALTHCARE",271,13,1,0,0,1,7.7,100,0,0,3.5,2.8,2.2,4.8,3.4,3,0.6,42.3,40.6,0.8,3,0.2,280924,21609.54,4,0.3,14.8,18.1,2.8,3.8,38.3,75.8,58.1,1.7,1.9,11.1,3.4,2.6,0.4,0.2,7.7,5.9,96.5,89.2,0,16.7,4.4,40.1,41.4,11.3
"HMG HEALTHCARE",272,33,2,0,1,2,6.1,100,0,0,3.3,3,1.8,4.6,3.3,2.9,0.4,52.7,46.6,0.3,45,1.4,1614046,48910.48,7,0.2,24.9,11.5,0.6,0.8,55.3,95.9,95,2.1,1.9,7.4,2.6,3.6,0.3,0.1,7.9,8.7,99.4,99,0,8.9,1.7,1.2,12.2,11.3
"HOMEWOOD RETIREMENT CENTERS",273,4,2,0,0,0,0,0,100,0,4.5,4,4.8,4.5,4.3,3.9,0.9,32.9,28.2,0,2,0.5,49709,12427.25,0,0,20.2,7.5,0.7,2.9,55.6,96.9,96.6,1.1,0.7,21.7,4.7,3.5,1.7,0.6,31.1,28.6,99.7,99.4,0,30,6.8,0.9,21,10.1
HUMANGOOD,274,17,7,0,0,1,5.9,5.9,94.1,0,4.5,3.7,4.7,4.4,4.9,4.4,1.1,29.8,30.9,0.4,8,0.5,290579,17092.88,2,0.1,22.5,11.5,0.9,2.3,60.6,91.6,92.9,2,1.1,11.3,1.9,4.4,2,0.6,20.6,15.1,97.8,98,0,22.6,4.7,6.4,12.8,10.2
"HURLBUT CARE",275,13,1,1,0,1,7.7,100,0,0,3.8,3.9,2.7,3.2,3.6,3,0.4,52.8,49.9,0.5,7,0.5,947011,67643.64,0,0,21.3,17,1.5,3,31.2,74,72.1,1.9,1.3,13,4.4,8.2,2.6,0.5,16.8,19.2,97,89.4,0,29.8,6.2,3.1,9,10.7
"HYATT FAMILY FACILITIES",276,5,1,0,0,0,0,100,0,0,2.6,2.4,3.4,3.8,4,3.4,0.9,50.1,59.9,0.8,4,0.8,227766,45553.2,1,0.2,23.2,18.2,1.7,3,68.3,91.7,93.9,1,1.3,15.9,1.9,4.6,3.6,1.4,23.5,20.8,98.5,97,0,29.6,9.6,10.9,11.3,10.4
"ICARE HEALTH NETWORK",277,12,3,0,0,5,41.7,100,0,0,3.3,2.8,3,4.5,3.3,3,0.4,36.3,41.5,0.3,6,0.5,299848,24987.33,0,0,23,14.3,0.4,1.6,58.3,80.8,92.4,2,1.6,20.7,2.9,3,0.4,0.5,12.3,14.2,99.2,98.6,0,16.2,3.6,11.7,25,11
"IDE MANAGEMENT GROUP",278,10,1,0,0,1,10,90,0,10,3,3.2,2.1,3.6,3.3,2.9,0.8,56.2,48.3,0.2,1,0.1,105073,10507.3,2,0.2,21.3,6.7,4.1,4,43,80.7,81.4,1.5,1.3,17.6,3.3,4.5,2.6,0.6,23.4,22,99.1,96.2,0,24.6,5.9,22.2,20.5,10.7
"IGNITE MEDICAL RESORTS",279,25,7,0,1,1,4,96,4,0,2.5,2.3,2,4.3,3.9,3.5,0.6,57.5,50.5,0.5,42,1.7,865778,34631.12,7,0.3,24.9,11.5,0.8,1.7,66.7,71.3,81.1,2,1.5,10.8,3.2,7.3,2.2,1.2,15.2,10.6,85.2,88.8,0,24.9,5.5,24.9,20,11.8
"IHS MANAGEMENT CONSULTANTS",280,5,1,0,1,1,20,100,0,0,2.2,2.6,2.4,2,3.4,3.1,0.3,64.9,74.2,1.4,4,0.8,78537,15707.4,2,0.4,27.7,14.4,5.9,0,52,45.9,63,2,2.5,26.4,4.8,3.8,8,2.7,22,18.5,91.7,81.3,0,19.2,5.5,1.6,27.7,10.8
IMMANUEL,281,3,2,0,0,0,0,0,100,0,4.7,4,5,4.3,5.3,4.8,1.4,33.1,17.5,0,0,0,0,0,0,0,18.9,9.7,1.3,0.8,62.3,75.7,84,1.7,1.3,10.5,2,2.3,2,0.8,24.6,20.7,97.9,93,0,32.2,2.8,1.2,16.7,10
"IMPERIAL HEALTHCARE GROUP",282,13,1,0,0,1,7.7,100,0,0,2.8,2.5,1.8,3.4,3.3,3,0.4,53.6,48.1,0.5,11,0.8,277690,21360.77,2,0.2,26.1,10.9,1,1.9,60.1,55.4,70,2.3,1.7,17.8,3.3,5.4,1.3,0.7,14.4,13.1,89.5,81.1,0,27.1,7,10.5,18.9,10.3
"INGLESIDE ENGAGED LIVING",284,3,3,0,0,0,0,0,100,0,5,3.7,5,5,5.4,4.9,1.6,33.7,36.5,0.3,3,1,52159,17386.33,0,0,19.2,5.6,1.5,1.7,69.7,83.3,58.8,1.4,1.6,13.6,2.7,4.8,1.3,0.5,26.6,26.3,97.6,80.5,0,28,3.5,3.1,18.2,10.8
"INSPIRED HEALTHCARE MANAGEMENT",286,6,1,0,1,1,16.7,100,0,0,1.7,2,2.5,1.3,3.6,3.2,0.2,45.9,31.1,0,5,0.8,359072,59845.33,2,0.3,26.4,12.1,2,5.1,48.5,65.5,76.7,4.2,4.3,21.9,2.3,5.1,3.9,1.8,33.2,27.2,92.4,81,0.1,26,5.3,0.3,20.1,11.8
"JAG HEALTHCARE",289,9,1,0,0,0,0,100,0,0,3.7,3.1,2.4,4.8,3.4,3,0.4,37.8,39,0.2,1,0.1,130240,14471.11,1,0.1,31.1,8.7,1.8,4.4,61.5,78.1,84,1.7,1.8,20,2.4,1.5,0.8,0.1,7.3,6.3,98.1,93.3,0.2,12.9,6.4,51.7,42.9,10
"JAMES & JUDY LINCOLN",290,56,2,2,0,12,21.4,100,0,0,2.5,2.8,2.1,2.6,3.1,2.8,0.4,56.9,52.6,0.5,33,0.6,1456039,26000.7,12,0.2,25.7,11.5,2.7,3.2,51,72.2,70.7,2,2.1,29.8,4.3,4.1,2.7,1.4,18.7,19.3,96,86.9,0.1,16.9,3.8,4.8,31.1,10.9
"JUCKETTE FAMILY HOMES",295,6,1,0,0,0,0,100,0,0,1.8,2.3,1.3,2.3,3.7,3.4,0.3,58.4,"",0.5,4,0.7,402473,67078.83,3,0.5,33.7,22.7,3.7,3.9,47.2,98.9,96.1,2.3,2.8,28.8,4.2,3.5,1.9,2.5,13.1,18,95,99.3,0,15.8,4.8,2.9,28.5,11.6
"KADIMA HEALTHCARE GROUP",296,15,1,0,3,2,13.3,100,0,0,1.7,1.7,1.8,2.9,3.4,3.1,0.7,66.7,70.5,1.7,21,1.4,720277,48018.47,5,0.3,21.1,12.4,2,3.4,48.2,42.5,48.5,1.5,1.9,24.1,3.4,7,1.5,1.6,22,22.2,85.6,77.3,0.1,23.7,7.1,7,20.8,10.6
"KALESTA HEALTHCARE GROUP",297,14,3,0,1,2,14.3,100,0,0,2.5,2.1,3.1,4.3,4.1,3.7,0.5,46.6,55.2,0.9,17,1.2,315607,22543.36,2,0.1,20.8,14.3,2.3,2.2,64,90.3,92,1.8,2,10.5,2,5,1.7,0.9,10.5,9.6,96.5,96.1,0.4,14.7,4.9,8.1,17.1,10.5
"KINDRED HEALTHCARE",300,4,4,0,0,0,0,100,0,0,3.5,3,3.3,3.8,6.6,5.8,2,31.6,28.2,0,1,0.3,64799,16199.75,0,0,14.7,7.5,1.9,4.8,43.3,93.5,97.6,1.2,1,13.2,0.9,21.5,3.9,4.3,13,21.4,97.9,98.7,0,2.1,6.4,1.4,40.9,12.2
"KINGSTON HEALTHCARE",301,6,2,0,0,0,0,100,0,0,3.7,2.8,3,4.8,4.3,3.8,0.9,53.2,43.7,0.2,0,0,0,0,0,0,22,14.2,0.6,3.3,66.2,91.8,93.6,2.1,1.6,7.8,3,5.1,0.7,0,6.4,4.9,97,95.6,0,26.4,5.5,22.3,23.7,9.8
"KISSITO HEALTHCARE",302,6,1,0,0,0,0,66.7,33.3,0,4.5,4.2,3.2,3.8,3.9,3.4,0.9,41.6,29.7,0.3,3,0.5,35837,5972.83,0,0,23.5,12.2,1.2,5.1,66.4,91.8,91.1,1.6,1.9,13.4,5.8,8.4,1.9,0.4,16.3,15.6,99.4,99.1,0,21.9,5.7,5.4,34.3,10.6
"LANTIS ENTERPRISES",304,5,2,0,0,0,0,100,0,0,1.4,1.8,2.8,1.6,3.2,2.9,0.6,47.5,42.9,"",1,0.2,44044,8808.8,3,0.6,19,18.9,4.6,2.8,36.9,54,67.4,1.6,2.9,26.3,3.6,7.9,3.9,1.2,21.7,27.6,93,85.7,0,24.7,8.9,2.6,18.8,10.3
"LEGACY HEALTH SERVICES",305,14,1,0,0,1,7.1,100,0,0,3.2,2.6,1.9,4.8,3.7,3.2,0.7,54.1,51.8,0.6,1,0.1,8171,583.64,1,0.1,26,8.8,0.7,0.9,61.2,79.2,82.5,1.9,1.7,6.4,2.3,4.2,0.6,0.2,6.1,5.4,94.9,95.3,0,24.2,5.9,36.1,21.7,10.5
"LEGACY HEALTHCARE",306,93,3,1,1,12,12.9,100,0,0,3,3,2.5,3.4,3.5,3.2,0.7,46.1,41.7,0.3,119,1.3,3721751,40018.83,27,0.3,24.8,13.5,2.1,1.9,52,63,74.1,1.8,2,21.3,3,5.3,1.6,1,13.5,12.6,93.2,91.6,0.1,23.1,6.6,48.5,16.5,10.5
"LEGACY NURSING & REHABILITATION",307,9,2,0,0,2,22.2,100,0,0,1.7,2,1.6,2.8,3.4,2.9,0.2,47.5,63.8,0.7,16,1.8,1495747,166194.11,3,0.3,25,13.2,2.9,5,55.9,58.8,89,2,2.5,30.8,1.8,6.2,0.5,0.4,12.9,15,88.2,97.7,0,17.3,5.4,2.7,23.4,11.3
"LIBERTY SENIOR LIVING",310,37,1,0,0,2,5.4,100,0,0,2.6,2.9,2.1,3,3.6,3.2,0.5,54.9,52.1,0.6,43,1.2,1042715,28181.49,6,0.2,24.5,15.1,1.4,3.1,49.2,83.1,88.4,1.8,2.2,13.4,3.5,6.3,3.3,1.4,19,13.8,95,95,0,23.9,6.3,4,18.8,10.5
"LIFE CARE CENTERS OF AMERICA",311,194,26,0,1,14,7.2,96.4,0.5,3.1,3.5,2.9,3.3,4.5,3.8,3.3,0.7,41.8,40.8,0.4,114,0.6,3832183,19753.52,10,0.1,23.7,11.3,1.2,2.2,80.4,81.3,83.4,1.7,1.5,13.5,3.2,4.5,0.9,0.3,11.7,9.3,95,94.1,0.1,22.2,6.1,6.1,19.4,10.6
"LIFE CARE SERVICES",312,22,15,0,0,0,0,77.3,22.7,0,4.2,3.8,4.5,4.3,4.9,4.4,1.2,37.4,35.8,0.5,10,0.5,367358,16698.09,3,0.1,22,10.5,1,2.1,60.1,90,90.9,1.6,1.3,12.3,4,4.7,1.4,1.5,18.5,18.8,96.2,96.7,0,21.7,4.3,3,13.8,11
"LIFESPACE COMMUNITIES",315,16,7,0,0,1,6.3,12.5,87.5,0,4.1,3.3,4.1,4.4,4.2,3.8,1.2,41.1,39.7,0.6,10,0.6,215362,13460.13,0,0,23.3,9.6,0.8,2,63.2,89.2,90.9,1.7,0.9,13.5,2.5,3.9,1.4,0.2,16.4,11.9,97.3,96.4,0,19.6,4.6,2.1,17.7,10.5
LIFESPARK,316,4,2,0,0,0,0,25,75,0,1.3,1,2.8,4,3,2.7,0.7,47.8,31.9,0.5,12,3,635807,158951.75,0,0,21.2,10.6,1.5,2.9,62.5,80.1,93.1,1.6,1.3,17.8,4,4.1,1.1,1,17.8,16.7,97.6,97.8,0,23.3,6,3.8,11.8,9.9
"LINKS HEALTHCARE GROUP",318,31,2,0,0,5,16.1,100,0,0,2.9,2.5,2.7,4,4.1,3.7,0.6,44.2,48.8,0.8,17,0.5,460562,14856.84,2,0.1,23,11.8,1.2,1.7,56.6,91.9,95.1,2,1.4,11,1.7,4.7,0.9,0.7,12.1,8.2,98.9,98.7,0.4,6.8,4.4,11.9,17,11.5
"LITTLE SISTERS OF THE POOR",319,3,3,0,0,0,0,0,100,0,5,4.7,4.5,3.3,6.2,5.8,1.6,28.8,33.3,0,0,0,0,0,0,0,"","","","","","",33.3,2.4,1.7,6.7,7.9,3,3.3,0.2,18.8,21.2,100,93.1,0,26.3,6.3,0,8.5,""
"LME FAMILY HOLDINGS",321,15,4,0,1,1,6.7,100,0,0,2.2,2.2,2.2,3.2,3.3,3.1,0.6,55.1,51.8,0.8,24,1.6,662307,44153.8,0,0,22.6,10.7,1.6,2.7,44.4,58.8,54.2,2.2,1.4,18,2.4,5.1,1.3,0.8,14.9,15.5,93.2,81.1,0,25.9,8.1,12.3,23.9,10.4
"THE LOFT REHABILITATION AND NURSING",322,7,1,0,1,4,57.1,100,0,0,1.9,2,1.1,3,3.3,3,0.4,51.6,53.5,1,13,1.9,1076506,153786.57,10,1.4,27.2,11.9,1.5,2.9,56.6,65.3,72.5,2.2,2.1,10.9,3.1,3.9,1,0.7,23.7,19.3,93.4,90,0,25.5,6.5,30.9,17,11
"LONGWOOD MANAGEMENT CORPORATION",323,38,1,0,2,3,7.9,100,0,0,2.2,2.1,3.2,3.6,4.3,4,0.5,39.9,38.5,0.4,47,1.2,1390400,36589.47,19,0.5,23.8,7.6,4.1,0.5,54,78.6,81,3.1,1.3,13.3,1.6,6.4,2.1,0.6,9.7,14.5,96.3,97.8,0.4,8.6,6.4,0.4,11,10.6
"LORIEN HEALTH SERVICES",324,8,1,0,0,0,0,100,0,0,3.6,3.5,3.8,2.6,4.3,3.9,0.9,50,45.7,0.3,2,0.3,81442,10180.25,0,0,23.8,12,1.6,4.1,51.5,82.7,86.5,1.5,1.4,13.1,2.4,7.6,5.1,1.4,45,26.3,97.2,95.8,0,24.4,7,5.2,13,11.8
"LUTHERAN SERVICES CAROLINAS",327,9,1,0,0,1,11.1,0,100,0,4.3,3.7,4.7,3,4.6,4.2,0.8,39.4,27.1,0.3,9,1,150545,16727.22,0,0,24,13.6,0.6,5.2,54.8,82.5,86.5,1.2,1.2,15.2,4.4,6,4.1,1.7,32.2,24.4,94.6,91,0,27.8,9.3,1,25.1,10
"MADISON CREEK PARTNERS",328,13,2,0,0,3,23.1,100,0,0,3.5,3.1,3.2,4.2,3.6,3.3,0.6,47.9,52.5,0.5,9,0.7,147124,11317.23,2,0.2,23,14.5,1.8,1.1,43.4,87.1,78.1,1.6,1.9,25.7,2.3,3.1,0.5,0.4,11.5,9.6,96.8,92.6,0,14.2,4.6,4.3,13.2,10.6
"MAGNOLIA MANOR SENIOR LIVING",329,6,1,0,0,0,0,0,100,0,3,2.8,3.8,3.8,4,3.4,0.5,42.5,36.4,0,1,0.2,34431,5738.5,0,0,24.3,12.2,1.4,1.6,38.3,85,86.8,1.7,1.8,16.3,4.1,4.3,0.9,0.3,15.7,15.6,98.1,97.8,0.2,9.6,2.8,2.6,18.4,11.4
"MAINE VETERANS' HOME",330,5,1,0,0,0,0,0,100,0,4.2,4,4.2,2.6,5.4,4.8,1.6,39.1,32.3,0.3,3,0.6,82599,16519.8,1,0.2,18.9,16.8,2.1,6.2,38.1,72.8,71.8,0.9,1.4,15.6,4.5,5.1,2.8,1.2,24.1,25.1,94.7,95.6,0,32,4.3,5.6,17.6,9.6
"MAJESTIC CARE",331,34,3,0,1,3,8.8,88.2,2.9,8.8,2.5,2.2,1.5,4.6,3.4,2.9,0.5,51.7,48.3,0.6,21,0.6,1007282,29625.94,12,0.4,22.4,10.3,1.8,2.1,46.8,62.5,67.5,1.6,1.5,10.7,3.8,4.1,0.3,0.2,6.2,4.8,93.2,91.7,0,23.6,6.4,39,24.9,10.6
"MAJOR HOSPITAL",332,6,1,1,1,1,16.7,33.3,50,16.7,2.8,2.8,2.8,3.6,3.6,3.4,0.6,48.6,33.3,0,5,0.8,117999,19666.5,2,0.3,21.8,11.9,1.1,2.6,61.6,91.7,82.1,2,1.5,19.9,4.1,2.7,3.2,2.8,21.7,20.6,97.3,97.5,0,25.4,4.4,4.1,28.7,11
"MAPLE SPRINGS LIVING",333,3,2,0,0,0,0,100,0,0,2.7,2.3,4.3,3.3,5.3,4.8,1.4,48.8,47.2,0,4,1.3,88404,29468,1,0.3,20.9,14.7,2.3,3.2,45.2,92.9,92.6,1.5,1.6,18.1,0.7,12.1,4.9,3.1,19.6,9.6,100,97.9,0,27.9,7.8,9.7,15.5,9.4
"MARINER HEALTH CARE",334,18,1,0,1,3,16.7,100,0,0,3,2.6,4,4.1,4.3,4,0.6,38.7,38.4,0.2,49,2.7,521556,28975.33,3,0.2,22.3,11.2,0.8,1.7,56.8,98.8,99.5,2.1,1.5,12.2,2.4,6.6,0.3,0.4,8.4,9.3,99.8,99.8,0.3,6.4,4.4,1.5,11.2,11.2
"MARQUIS COMPANIES",335,15,3,0,0,2,13.3,100,0,0,4.3,3.7,4.4,3.5,5,4.5,0.8,42.6,36.8,0.5,2,0.1,27378,1825.2,0,0,22.1,10.1,0.8,4.4,57.8,81.2,86.5,1.6,1.8,13.6,2.7,10.6,2.3,2.7,26.5,19.8,92.8,94.8,0.1,22.2,6.9,3.7,12.1,9.7
"MARQUIS HEALTH SERVICES",336,84,9,1,1,5,6,98.8,1.2,0,3.1,2.6,2.5,4.4,3.6,3.2,0.7,41.4,41.3,0.6,88,1,2684387,31956.99,6,0.1,24.5,9.4,1.3,1.9,67.5,65.5,71.2,1.7,1.2,14.5,2.6,5.5,1,0.6,11.5,11.4,93.6,88.8,0.1,21.3,6.4,43.9,16.5,11.1
"MARSH POINTE MANAGEMENT",337,6,2,0,1,2,33.3,100,0,0,3,2.8,4,3,4,3.6,0.6,40.7,33.9,0.3,4,0.7,165092,27515.33,2,0.3,19.8,13.8,1.1,3.4,70,88.6,60,2.4,2,37.4,4.2,3.3,4.1,2.5,10.3,15.2,98.6,84.4,0,15.2,6.4,1.6,28.2,10.8
"MAXIMUS HEALTHCARE GROUP",338,7,2,0,0,0,0,100,0,0,4.6,4,3.7,4.6,3.9,3.5,0.5,40.8,29.9,0.2,0,0,0,0,0,0,20.5,9.7,1.7,1.7,52.8,91.4,90.8,1.7,1.2,10.2,3.5,5.9,0.6,0.3,13.3,12.1,99.8,99.6,0,13.7,3.2,1.8,17.4,10.3
"MB HEALTHCARE",341,12,2,0,0,0,0,100,0,0,3.7,2.9,3,4.8,3.6,3.2,0.6,43.4,42.6,0.7,3,0.3,60110,5009.17,0,0,23.6,8.9,0.9,1.9,62,86.6,88.1,2.1,1,10.3,2.3,4.8,0.2,0.4,7,6.8,99.3,96.4,0,18.3,3.3,5.4,22.3,10.4
"MEDICALODGES, INC.",344,20,3,0,1,4,20,100,0,0,2.6,2.3,3.8,3.2,4,3.4,0.6,54.4,48.4,0.3,27,1.4,642143,32107.15,3,0.2,24.1,14.2,3.1,2.5,54.2,76.8,75.9,1.7,2.6,20.2,4.6,3.8,4.4,0.7,15.9,17.4,95.9,89.2,0,26.1,4.5,3,26.2,10.7
MEDILODGE,345,50,1,0,2,7,14,100,0,0,3.1,2.7,3.8,4.2,4,3.3,0.9,44.2,39.2,0.8,34,0.7,1478993,29579.86,11,0.2,23.3,11.4,1.1,1.5,56.5,69.8,69,1.8,1.6,13,3,5.7,1.2,0.5,8.7,6.7,94.5,93.1,0.3,21.8,6.6,3.3,24.6,10.7
"MERCYHEALTH SYSTEM",346,3,2,0,0,0,0,0,100,0,4.7,4.7,3.3,4,7.3,6.2,3.1,35.7,54.5,0,1,0.3,82840,27613.33,0,0,23.2,9.4,2.5,3.8,54.2,99,100,1.3,1.5,3.9,4.4,11.2,3,0.9,10.5,18.3,"",100,0,19.8,7.8,0,3.1,9.9
"MGM HEALTHCARE",348,31,3,0,1,4,12.9,100,0,0,2.4,2.1,1.8,3.9,3.6,3.1,0.4,59.1,56,0.8,32,1,1410912,45513.29,15,0.5,23.1,14.7,0.6,1.5,50.5,45.7,54.4,2.2,2.4,16.4,2.6,4.2,0.5,0.1,7.9,8,84,73.8,0,17.9,2.8,31.5,24.2,10.8
"MIDWEST HEALTH",350,10,2,0,0,0,0,100,0,0,3.6,3.2,4.2,3.5,3.9,3.5,0.8,50.3,36.4,0.4,3,0.3,46217,4621.7,0,0,28.1,15.8,1.8,4.6,43.5,78.9,79.4,1.9,2.1,13.9,3,5,2.2,0.6,11.7,14.2,95,91.1,0,23.8,3.5,1.4,21.7,11.7
"MILLENNIUM HEALTH SYSTEMS",351,5,2,0,0,0,0,100,0,0,4.2,3.2,4,4.6,4.7,4.2,1.1,22.1,32.2,0,2,0.4,101498,20299.6,0,0,26.8,5.8,0.5,2.1,22.1,94.7,97.5,2.3,0.8,7.3,1.1,4.3,0.8,0.7,17.9,13.4,100,99.4,0.2,14.1,4.9,1.3,25.4,11.2
"MILLER'S MERRY MANOR",352,14,1,0,0,1,7.1,100,0,0,3.8,3.6,3.2,3.9,3.8,3.3,0.8,49.1,36.4,0.7,1,0.1,10255,732.5,0,0,23,12.4,0.8,5.3,51.2,95.3,97.5,1.6,1.5,8.6,4.1,5,3.9,0.4,19.4,13.6,99,99.7,0,12.2,7.4,10.3,15.3,10.7
